"ipipe","ipipa","ipipc","ipipn","ipipo","bitter","salty","sour","spicey","sweet","filter_.","gender"
4,3.9,3.2,1.9,4.2,3.5,3.9,3.33333333333333,2.6,4.1,1,2
2.3,3.5,3,2.5,2.9,2,3.6,2.7,3.1,2.8,1,2
3.2,3.7,3.6,2.8,3.3,2.7,3.4,3.3,2.7,5,1,1
4.7,4.8,3,2.4,4.1,4.5,3.3,4.55555555555556,4.2,4.8,1,1
2.7,5,3.3,3.8,3.5,4.6,3.8,3.4,1.1,5.3,1,1
3.4,4.3,4.3,3.8,3.2,4.1,5.1,4.2,2.6,5.8,0,1
3.6,3.6,3.8,4,3.8,2,2.5,2.9,1.3,3.5,0,2
3.6,3.7,3.2,2.7,2.8,3.6,4.3,3.7,2.9,4.3,1,1
3.8,2.6,3.9,4.2,3.8,3.9,4.8,3,3,3.4,1,2
4.3,4.5,3.6,2.1,3.5,4.7,4.1,4.5,3.2,5.9,1,1
3.1,2.6,4.5,3.5,3.6,3.6,3.6,2.5,4.2,4.9,0,2
4.1,4,3.6,3.1,3.7,2,4.2,4.2,2,4.9,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.8,4.4,4.6,3,3.7,2.8,2.7,3.6,3.3,4.8,1,1
4.3,4.4,4.3,2.4,4,2.7,3.3,3,1,4.1,1,1
3.3,3.9,4,3,3.4,3.1,3.1,3.6,2.1,5.1,1,2
3.8,4.6,3.6,2.8,3.6,2.4,3,2.6,4,4.4,1,1
2.8,4.7,3.6,2.9,2.9,3.2,3.5,2.7,2.5,5,1,1
2.7,3.1,3.2,2.8,3.4,3.5,3.6,3.6,3.2,3.6,1,1
4.6,4.8,3.5,4.3,4.8,3.8,3.7,3.44444444444444,2.3,5.6,1,1
4.2,4.8,4,3.3,2.4,4.2,4.4,3.5,1,5.4,1,1
2.7,4.3,3.8,3.5,4.3,4.5,5.11111111111111,5,3.9,5.3,1,1
3.1,4.7,3.4,2.4,4,4.1,3.9,4.5,4.7,4.9,1,2
2.8,3.9,3.3,2.6,3.5,3.5,4.5,3.9,2.7,4.8,1,2
2.1,3.6,4.7,3.6,3.7,2.2,3.8,2,3.1,3.9,1,2
4.2,4.3,2.7,2.6,3.7,3.2,3.3,3.3,4.1,4.3,0,2
3.1,3.6,4.2,2.9,4.1,2.8,2.2,1.9,1,4,1,1
